City ID,City,Country,Latitude,Longitude,Max Temperature,Humidity,Percent Clouds,Wind Speed,Description,Date
215,Talnakh,RU,69.4865,88.3972,34.07,94,14,7.96,few clouds,2021-06-13 02:00:27
216,Dikson,RU,73.5069,80.5464,31.91,96,100,12.3,overcast clouds,2021-06-13 01:56:55
217,Evensk,RU,61.95,159.2333,55.85,58,5,10.6,clear sky,2021-06-13 02:00:27
218,Agadir,MA,30.4202,-9.5982,64.85,87,20,3.98,few clouds,2021-06-13 02:00:28
219,Wanaka,NZ,-44.7,169.15,52.54,98,100,3.18,moderate rain,2021-06-13 01:59:33
220,El Sauzal,MX,31.9,-116.6833,65.41,77,72,3.47,broken clouds,2021-06-13 02:00:28
221,Kaitong,CN,44.8135,123.15,84.97,40,5,8.32,clear sky,2021-06-13 02:00:28
222,Gizo,SB,-8.103,156.8419,83.21,68,8,3.31,clear sky,2021-06-13 02:00:29
223,Alyangula,AU,-13.8483,136.4192,80.85,66,72,4.65,broken clouds,2021-06-13 02:00:29
224,Zhangye,CN,38.9342,100.4517,74.55,35,93,1.28,overcast clouds,2021-06-13 02:00:29
225,Caravelas,BR,-17.7125,-39.2481,75.16,72,100,12.75,overcast clouds,2021-06-13 02:00:30
226,Awjilah,LY,29.1081,21.2869,70.88,65,0,12.66,clear sky,2021-06-13 02:00:30
227,Lluta,PE,-16.0147,-72.0142,49.5,23,0,4.05,clear sky,2021-06-13 02:00:30
228,Nishihara,JP,26.1842,127.7558,83.48,84,75,10.36,broken clouds,2021-06-13 02:03:31
229,Port-Gentil,GA,-0.7193,8.7815,77.61,88,100,8.37,overcast clouds,2021-06-13 02:03:31
230,Owando,CG,-0.4819,15.8999,73.02,86,42,3.42,scattered clouds,2021-06-13 02:03:31
231,Khash,IR,28.2211,61.2158,83.88,9,0,4.09,clear sky,2021-06-13 02:03:32
232,Naze,JP,28.3667,129.4833,73.89,91,100,8.46,moderate rain,2021-06-13 02:03:32
